station_name,lat,lon
AIRPORT STATION,33.64055933333333,-84.44619766666666
ARTS CENTER STATION,33.7892485,-84.387343
ASHBY STATION,33.7564775,-84.41727900000001
AVONDALE STATION,33.775384,-84.2819765
BANKHEAD STATION,33.7722975,-84.4288895
BROOKHAVEN-OGLETHORPE STATION,33.860158999999996,-84.33932100000001
BUCKHEAD STATION,33.847877,-84.3676725
CHAMBLEE STATION,33.887723,-84.305959
CIVIC CENTER STATION,33.7661735,-84.387504
COLLEGE PARK STATION,33.6504295,-84.448634
DECATUR STATION,33.77469,-84.295368
DORAVILLE STATION,33.902598999999995,-84.280888
DUNWOODY STATION,33.920996,-84.3442405
EAST LAKE STATION,33.7652185,-84.31318150000001
EAST POINT STATION,33.6772045,-84.44062299999999
EDGEWOOD-CANDLER PARK STATION,33.7618345,-84.3406405
FIVE POINTS STATION,33.75397775,-84.39157125
GARNETT STATION,33.748817,-84.395643
GEORGIA STATE STATION,33.750152,-84.3858985
HAMILTON E HOLMES STATION,33.754535000000004,-84.469563
INDIAN CREEK STATION,33.7698745,-84.22939
INMAN PARK-REYNOLDSTOWN STATION,33.757339,-84.352914
KENSINGTON STATION,33.7727055,-84.251879
KING MEMORIAL STATION,33.749902000000006,-84.3758325
LAKEWOOD-FT MCPHERSON STATION,33.700588999999994,-84.42881650000001
LENOX STATION,33.8453475,-84.35831099999999
LINDBERGH CENTER STATION,33.82345625,-84.3693295
MEDICAL CENTER STATION,33.910748,-84.35182449999999
MIDTOWN STATION,33.781301,-84.3863475
NORTH AVENUE STATION,33.771606500000004,-84.387231
NORTH SPRINGS STATION,33.944663500000004,-84.357264
OAKLAND CITY STATION,33.717139,-84.425084
PEACHTREE CENTER STATION,33.7581355,-84.3875955
SANDY SPRINGS STATION,33.9316175,-84.35101449999999
SEC District Station,33.756183,-84.397253
VINE CITY STATION,33.756613,-84.40396150000001
WEST END STATION,33.736134500000006,-84.413658
WEST LAKE STATION,33.7532875,-84.4454485
