date,mode,mode_name,type_of_service,upt
2002-01-01,DR,Demand Response,DO,17347.0
2002-01-01,DR,Demand Response,PT,
2002-02-01,DR,Demand Response,DO,17198.0
2002-02-01,DR,Demand Response,PT,
2002-03-01,DR,Demand Response,DO,18583.0
2002-03-01,DR,Demand Response,PT,
2002-04-01,DR,Demand Response,DO,19056.0
2002-04-01,DR,Demand Response,PT,
2002-05-01,DR,Demand Response,DO,19823.0
2002-05-01,DR,Demand Response,PT,
2002-06-01,DR,Demand Response,DO,18965.0
2002-06-01,DR,Demand Response,PT,
2002-07-01,DR,Demand Response,DO,19649.0
2002-07-01,DR,Demand Response,PT,
2002-08-01,DR,Demand Response,DO,20640.0
2002-08-01,DR,Demand Response,PT,
2002-09-01,DR,Demand Response,DO,19898.0
2002-09-01,DR,Demand Response,PT,
2002-10-01,DR,Demand Response,DO,22232.0
2002-10-01,DR,Demand Response,PT,
2002-11-01,DR,Demand Response,DO,20623.0
2002-11-01,DR,Demand Response,PT,
2002-12-01,DR,Demand Response,DO,20035.0
2002-12-01,DR,Demand Response,PT,
2003-01-01,DR,Demand Response,DO,21488.0
2003-01-01,DR,Demand Response,PT,
2003-02-01,DR,Demand Response,DO,21496.0
2003-02-01,DR,Demand Response,PT,
2003-03-01,DR,Demand Response,DO,23843.0
2003-03-01,DR,Demand Response,PT,
2003-04-01,DR,Demand Response,DO,24029.0
2003-04-01,DR,Demand Response,PT,
2003-05-01,DR,Demand Response,DO,24262.0
2003-05-01,DR,Demand Response,PT,
2003-06-01,DR,Demand Response,DO,23262.0
2003-06-01,DR,Demand Response,PT,
2003-07-01,DR,Demand Response,DO,24540.0
2003-07-01,DR,Demand Response,PT,
2003-08-01,DR,Demand Response,DO,24890.0
2003-08-01,DR,Demand Response,PT,
2003-09-01,DR,Demand Response,DO,24446.0
2003-09-01,DR,Demand Response,PT,
2003-10-01,DR,Demand Response,DO,26646.0
2003-10-01,DR,Demand Response,PT,
2003-11-01,DR,Demand Response,DO,23118.0
2003-11-01,DR,Demand Response,PT,
2003-12-01,DR,Demand Response,DO,24094.0
2003-12-01,DR,Demand Response,PT,
2004-01-01,DR,Demand Response,DO,24502.0
2004-01-01,DR,Demand Response,PT,
2004-02-01,DR,Demand Response,DO,24715.0
2004-02-01,DR,Demand Response,PT,
2004-03-01,DR,Demand Response,DO,28187.0
2004-03-01,DR,Demand Response,PT,
2004-04-01,DR,Demand Response,DO,27510.0
2004-04-01,DR,Demand Response,PT,
2004-05-01,DR,Demand Response,DO,26425.0
2004-05-01,DR,Demand Response,PT,
2004-06-01,DR,Demand Response,DO,27463.0
2004-06-01,DR,Demand Response,PT,
2004-07-01,DR,Demand Response,DO,25780.0
2004-07-01,DR,Demand Response,PT,
2004-08-01,DR,Demand Response,DO,25676.0
2004-08-01,DR,Demand Response,PT,
2004-09-01,DR,Demand Response,DO,24785.0
2004-09-01,DR,Demand Response,PT,
2004-10-01,DR,Demand Response,DO,26866.0
2004-10-01,DR,Demand Response,PT,
2004-11-01,DR,Demand Response,DO,25967.0
2004-11-01,DR,Demand Response,PT,
2004-12-01,DR,Demand Response,DO,26789.0
2004-12-01,DR,Demand Response,PT,
2005-01-01,DR,Demand Response,DO,26877.0
2005-01-01,DR,Demand Response,PT,
2005-02-01,DR,Demand Response,DO,27496.0
2005-02-01,DR,Demand Response,PT,
2005-03-01,DR,Demand Response,DO,32597.0
2005-03-01,DR,Demand Response,PT,
2005-04-01,DR,Demand Response,DO,31486.0
2005-04-01,DR,Demand Response,PT,
2005-05-01,DR,Demand Response,DO,30979.0
2005-05-01,DR,Demand Response,PT,
2005-06-01,DR,Demand Response,DO,30397.0
2005-06-01,DR,Demand Response,PT,
2005-07-01,DR,Demand Response,DO,27409.0
2005-07-01,DR,Demand Response,PT,
2005-08-01,DR,Demand Response,DO,30985.0
2005-08-01,DR,Demand Response,PT,
2005-09-01,DR,Demand Response,DO,30181.0
2005-09-01,DR,Demand Response,PT,
2005-10-01,DR,Demand Response,DO,30608.0
2005-10-01,DR,Demand Response,PT,
2005-11-01,DR,Demand Response,DO,29751.0
2005-11-01,DR,Demand Response,PT,
2005-12-01,DR,Demand Response,DO,28258.0
2005-12-01,DR,Demand Response,PT,
2006-01-01,DR,Demand Response,DO,29840.0
2006-01-01,DR,Demand Response,PT,
2006-02-01,DR,Demand Response,DO,28757.0
2006-02-01,DR,Demand Response,PT,
2006-03-01,DR,Demand Response,DO,34254.0
2006-03-01,DR,Demand Response,PT,
2006-04-01,DR,Demand Response,DO,30151.0
2006-04-01,DR,Demand Response,PT,
2006-05-01,DR,Demand Response,DO,32074.0
2006-05-01,DR,Demand Response,PT,
2006-06-01,DR,Demand Response,DO,31399.0
2006-06-01,DR,Demand Response,PT,
2006-07-01,DR,Demand Response,DO,28645.0
2006-07-01,DR,Demand Response,PT,
2006-08-01,DR,Demand Response,DO,33390.0
2006-08-01,DR,Demand Response,PT,
2006-09-01,DR,Demand Response,DO,30505.0
2006-09-01,DR,Demand Response,PT,
2006-10-01,DR,Demand Response,DO,32250.0
2006-10-01,DR,Demand Response,PT,
2006-11-01,DR,Demand Response,DO,30738.0
2006-11-01,DR,Demand Response,PT,
2006-12-01,DR,Demand Response,DO,28521.0
2006-12-01,DR,Demand Response,PT,
2007-01-01,DR,Demand Response,DO,30898.0
2007-01-01,DR,Demand Response,PT,
2007-02-01,DR,Demand Response,DO,28865.0
2007-02-01,DR,Demand Response,PT,
2007-03-01,DR,Demand Response,DO,32668.0
2007-03-01,DR,Demand Response,PT,
2007-04-01,DR,Demand Response,DO,31228.0
2007-04-01,DR,Demand Response,PT,
2007-05-01,DR,Demand Response,DO,33803.0
2007-05-01,DR,Demand Response,PT,
2007-06-01,DR,Demand Response,DO,31562.0
2007-06-01,DR,Demand Response,PT,
2007-07-01,DR,Demand Response,DO,31532.0
2007-07-01,DR,Demand Response,PT,
2007-08-01,DR,Demand Response,DO,33662.0
2007-08-01,DR,Demand Response,PT,
2007-09-01,DR,Demand Response,DO,31210.0
2007-09-01,DR,Demand Response,PT,
2007-10-01,DR,Demand Response,DO,34820.0
2007-10-01,DR,Demand Response,PT,
2007-11-01,DR,Demand Response,DO,32066.0
2007-11-01,DR,Demand Response,PT,
2007-12-01,DR,Demand Response,DO,29786.0
2007-12-01,DR,Demand Response,PT,
2008-01-01,DR,Demand Response,DO,33839.0
2008-01-01,DR,Demand Response,PT,
2008-02-01,DR,Demand Response,DO,34440.0
2008-02-01,DR,Demand Response,PT,
2008-03-01,DR,Demand Response,DO,36184.0
2008-03-01,DR,Demand Response,PT,
2008-04-01,DR,Demand Response,DO,37829.0
2008-04-01,DR,Demand Response,PT,
2008-05-01,DR,Demand Response,DO,38283.0
2008-05-01,DR,Demand Response,PT,
2008-06-01,DR,Demand Response,DO,35224.0
2008-06-01,DR,Demand Response,PT,
2008-07-01,DR,Demand Response,DO,37234.0
2008-07-01,DR,Demand Response,PT,
2008-08-01,DR,Demand Response,DO,38542.0
2008-08-01,DR,Demand Response,PT,
2008-09-01,DR,Demand Response,DO,39675.0
2008-09-01,DR,Demand Response,PT,
2008-10-01,DR,Demand Response,DO,42634.0
2008-10-01,DR,Demand Response,PT,
2008-11-01,DR,Demand Response,DO,36184.0
2008-11-01,DR,Demand Response,PT,
2008-12-01,DR,Demand Response,DO,38565.0
2008-12-01,DR,Demand Response,PT,
2009-01-01,DR,Demand Response,DO,39735.0
2009-01-01,DR,Demand Response,PT,
2009-02-01,DR,Demand Response,DO,39478.0
2009-02-01,DR,Demand Response,PT,
2009-03-01,DR,Demand Response,DO,42715.0
2009-03-01,DR,Demand Response,PT,
2009-04-01,DR,Demand Response,DO,41748.0
2009-04-01,DR,Demand Response,PT,
2009-05-01,DR,Demand Response,DO,40948.0
2009-05-01,DR,Demand Response,PT,
2009-06-01,DR,Demand Response,DO,42035.0
2009-06-01,DR,Demand Response,PT,
2009-07-01,DR,Demand Response,DO,41434.0
2009-07-01,DR,Demand Response,PT,
2009-08-01,DR,Demand Response,DO,42134.0
2009-08-01,DR,Demand Response,PT,
2009-09-01,DR,Demand Response,DO,41098.0
2009-09-01,DR,Demand Response,PT,
2009-10-01,DR,Demand Response,DO,44111.0
2009-10-01,DR,Demand Response,PT,
2009-11-01,DR,Demand Response,DO,40676.0
2009-11-01,DR,Demand Response,PT,
2009-12-01,DR,Demand Response,DO,40502.0
2009-12-01,DR,Demand Response,PT,
2010-01-01,DR,Demand Response,DO,38825.0
2010-01-01,DR,Demand Response,PT,
2010-02-01,DR,Demand Response,DO,39486.0
2010-02-01,DR,Demand Response,PT,
2010-03-01,DR,Demand Response,DO,46224.0
2010-03-01,DR,Demand Response,PT,
2010-04-01,DR,Demand Response,DO,45208.0
2010-04-01,DR,Demand Response,PT,
2010-05-01,DR,Demand Response,DO,43937.0
2010-05-01,DR,Demand Response,PT,
2010-06-01,DR,Demand Response,DO,44617.0
2010-06-01,DR,Demand Response,PT,
2010-07-01,DR,Demand Response,DO,43006.0
2010-07-01,DR,Demand Response,PT,
2010-08-01,DR,Demand Response,DO,45533.0
2010-08-01,DR,Demand Response,PT,
2010-09-01,DR,Demand Response,DO,44428.0
2010-09-01,DR,Demand Response,PT,
2010-10-01,DR,Demand Response,DO,46107.0
2010-10-01,DR,Demand Response,PT,
2010-11-01,DR,Demand Response,DO,43158.0
2010-11-01,DR,Demand Response,PT,
2010-12-01,DR,Demand Response,DO,43013.0
2010-12-01,DR,Demand Response,PT,
2011-01-01,DR,Demand Response,DO,36305.0
2011-01-01,DR,Demand Response,PT,
2011-02-01,DR,Demand Response,DO,44224.0
2011-02-01,DR,Demand Response,PT,
2011-03-01,DR,Demand Response,DO,50130.0
2011-03-01,DR,Demand Response,PT,
2011-04-01,DR,Demand Response,DO,47299.0
2011-04-01,DR,Demand Response,PT,
2011-05-01,DR,Demand Response,DO,47569.0
2011-05-01,DR,Demand Response,PT,
2011-06-01,DR,Demand Response,DO,48533.0
2011-06-01,DR,Demand Response,PT,
2011-07-01,DR,Demand Response,DO,46537.0
2011-07-01,DR,Demand Response,PT,
2011-08-01,DR,Demand Response,DO,52525.0
2011-08-01,DR,Demand Response,PT,
2011-09-01,DR,Demand Response,DO,49940.0
2011-09-01,DR,Demand Response,PT,
2011-10-01,DR,Demand Response,DO,48135.0
2011-10-01,DR,Demand Response,PT,
2011-11-01,DR,Demand Response,DO,46616.0
2011-11-01,DR,Demand Response,PT,
2011-12-01,DR,Demand Response,DO,46530.0
2011-12-01,DR,Demand Response,PT,
2012-01-01,DR,Demand Response,DO,46579.0
2012-01-01,DR,Demand Response,PT,
2012-02-01,DR,Demand Response,DO,47871.0
2012-02-01,DR,Demand Response,PT,
2012-03-01,DR,Demand Response,DO,50922.0
2012-03-01,DR,Demand Response,PT,
2012-04-01,DR,Demand Response,DO,47877.0
2012-04-01,DR,Demand Response,PT,
2012-05-01,DR,Demand Response,DO,49990.0
2012-05-01,DR,Demand Response,PT,
2012-06-01,DR,Demand Response,DO,47954.0
2012-06-01,DR,Demand Response,PT,
2012-07-01,DR,Demand Response,DO,46741.0
2012-07-01,DR,Demand Response,PT,
2012-08-01,DR,Demand Response,DO,52794.0
2012-08-01,DR,Demand Response,PT,
2012-09-01,DR,Demand Response,DO,45696.0
2012-09-01,DR,Demand Response,PT,
2012-10-01,DR,Demand Response,DO,51852.0
2012-10-01,DR,Demand Response,PT,
2012-11-01,DR,Demand Response,DO,45435.0
2012-11-01,DR,Demand Response,PT,
2012-12-01,DR,Demand Response,DO,43052.0
2012-12-01,DR,Demand Response,PT,
2013-01-01,DR,Demand Response,DO,47498.0
2013-01-01,DR,Demand Response,PT,
2013-02-01,DR,Demand Response,DO,46321.0
2013-02-01,DR,Demand Response,PT,
2013-03-01,DR,Demand Response,DO,51311.0
2013-03-01,DR,Demand Response,PT,
2013-04-01,DR,Demand Response,DO,50377.0
2013-04-01,DR,Demand Response,PT,
2013-05-01,DR,Demand Response,DO,52288.0
2013-05-01,DR,Demand Response,PT,
2013-06-01,DR,Demand Response,DO,47080.0
2013-06-01,DR,Demand Response,PT,
2013-07-01,DR,Demand Response,DO,50698.0
2013-07-01,DR,Demand Response,PT,
2013-08-01,DR,Demand Response,DO,51293.0
2013-08-01,DR,Demand Response,PT,
2013-09-01,DR,Demand Response,DO,48646.0
2013-09-01,DR,Demand Response,PT,
2013-10-01,DR,Demand Response,DO,51147.0
2013-10-01,DR,Demand Response,PT,
2013-11-01,DR,Demand Response,DO,45180.0
2013-11-01,DR,Demand Response,PT,
2013-12-01,DR,Demand Response,DO,43609.0
2013-12-01,DR,Demand Response,PT,
2014-01-01,DR,Demand Response,DO,42154.0
2014-01-01,DR,Demand Response,PT,
2014-02-01,DR,Demand Response,DO,41432.0
2014-02-01,DR,Demand Response,PT,
2014-03-01,DR,Demand Response,DO,54960.0
2014-03-01,DR,Demand Response,PT,
2014-04-01,DR,Demand Response,DO,53788.0
2014-04-01,DR,Demand Response,PT,
2014-05-01,DR,Demand Response,DO,50708.0
2014-05-01,DR,Demand Response,PT,
2014-06-01,DR,Demand Response,DO,48826.0
2014-06-01,DR,Demand Response,PT,
2014-07-01,DR,Demand Response,DO,53331.0
2014-07-01,DR,Demand Response,PT,
2014-08-01,DR,Demand Response,DO,50526.0
2014-08-01,DR,Demand Response,PT,
2014-09-01,DR,Demand Response,DO,49947.0
2014-09-01,DR,Demand Response,PT,
2014-10-01,DR,Demand Response,DO,53483.0
2014-10-01,DR,Demand Response,PT,
2014-11-01,DR,Demand Response,DO,47303.0
2014-11-01,DR,Demand Response,PT,
2014-12-01,DR,Demand Response,DO,49690.0
2014-12-01,DR,Demand Response,PT,
2015-01-01,DR,Demand Response,DO,50047.0
2015-01-01,DR,Demand Response,PT,
2015-02-01,DR,Demand Response,DO,45150.0
2015-02-01,DR,Demand Response,PT,
2015-03-01,DR,Demand Response,DO,57147.0
2015-03-01,DR,Demand Response,PT,
2015-04-01,DR,Demand Response,DO,56521.0
2015-04-01,DR,Demand Response,PT,
2015-05-01,DR,Demand Response,DO,54639.0
2015-05-01,DR,Demand Response,PT,
2015-06-01,DR,Demand Response,DO,56105.0
2015-06-01,DR,Demand Response,PT,
2015-07-01,DR,Demand Response,DO,56358.0
2015-07-01,DR,Demand Response,PT,
2015-08-01,DR,Demand Response,DO,56260.0
2015-08-01,DR,Demand Response,PT,
2015-09-01,DR,Demand Response,DO,55114.0
2015-09-01,DR,Demand Response,PT,
2015-10-01,DR,Demand Response,DO,57462.0
