station_name,line,lat,lon,peak_trains_per_hour,offpeak_trains_per_hour
Airport,GOLD,33.64055933333333,-84.44619766666666,24.0,16.7
Arts Center,GOLD,33.7892485,-84.387343,23.8,16.8
Ashby,GREEN,33.7564775,-84.41727900000001,24.0,18.4
Avondale,BLUE,33.775384,-84.2819765,12.0,9.1
Bankhead,GREEN,33.7722975,-84.4288895,12.0,9.3
Brookhaven-Oglethorpe,GOLD,33.860158999999996,-84.33932100000001,11.8,9.2
Buckhead,RED,33.847877,-84.3676725,11.8,9.4
Chamblee Station,GOLD,33.887723,-84.305959,11.8,9.2
Civic Center Station,GOLD,33.7661735,-84.387504,23.8,16.8
College Park,GOLD,33.6504295,-84.448634,24.0,16.7
Decatur,BLUE,33.77469,-84.295368,12.0,9.1
Doraville,GOLD,33.902598999999995,-84.280888,12.0,9.2
Dunwoody,RED,33.920996,-84.3442405,11.8,9.4
East Lake,BLUE,33.7652185,-84.31318150000001,12.0,9.1
East Point,GOLD,33.6772045,-84.44062299999999,24.0,16.7
Edgewood-Candler Park,BLUE,33.7618345,-84.3406405,24.0,16.8
Five Points,BLUE,33.75397775,-84.39157125,48.0,33.6
Garnett,GOLD,33.748817,-84.395643,23.8,16.8
Georgia State,BLUE,33.750152,-84.3858985,24.0,16.8
Hamilton E Holmes,BLUE,33.754535000000004,-84.469563,12.0,9.1
Indian Creek,BLUE,33.7698745,-84.22939,11.8,9.1
Inman Park-Reynoldstown,BLUE,33.757339,-84.352914,24.0,16.8
Kensington,BLUE,33.7727055,-84.251879,12.0,9.1
King Memorial Station,BLUE,33.749902000000006,-84.3758325,24.0,16.8
Lakewood-Ft Mcpherson,GOLD,33.700588999999994,-84.42881650000001,23.8,16.8
Lenox,GOLD,33.8453475,-84.35831099999999,12.0,9.2
Lindbergh Center,RED,33.82345625,-84.3693295,23.5,16.7
Medical Center,RED,33.910748,-84.35182449999999,12.0,9.3
Midtown,GOLD,33.781301,-84.3863475,23.8,16.8
North Avenue,GOLD,33.771606500000004,-84.387231,23.8,16.8
North Springs,RED,33.944663500000004,-84.357264,11.8,9.4
Oakland City,GOLD,33.717139,-84.425084,23.8,16.8
Peachtree Center,GOLD,33.7581355,-84.3875955,23.8,16.8
Sandy Springs,RED,33.9316175,-84.35101449999999,11.8,9.4
Sec District Station,BLUE,33.756183,-84.397253,24.0,16.7
Vine City,GREEN,33.756613,-84.40396150000001,24.0,18.4
West End,GOLD,33.736134500000006,-84.413658,24.0,16.7
West Lake,BLUE,33.7532875,-84.4454485,12.0,9.1
