date,mode,mode_name,upt
2019-01-01,HR,Heavy Rail,5157093.0
2019-02-01,HR,Heavy Rail,5384950.0
2019-03-01,HR,Heavy Rail,5290203.0
2019-04-01,HR,Heavy Rail,5232852.0
2019-05-01,HR,Heavy Rail,5719882.0
2019-06-01,HR,Heavy Rail,5095269.0
2019-07-01,HR,Heavy Rail,4980443.0
2019-08-01,HR,Heavy Rail,5279691.0
2019-09-01,HR,Heavy Rail,5100012.0
2019-10-01,HR,Heavy Rail,5499729.0
2019-11-01,HR,Heavy Rail,4609887.0
2019-12-01,HR,Heavy Rail,4428131.0
2020-01-01,HR,Heavy Rail,4664750.0
2020-02-01,HR,Heavy Rail,4401906.0
2020-03-01,HR,Heavy Rail,3002038.0
2020-04-01,HR,Heavy Rail,993578.0
2020-05-01,HR,Heavy Rail,1081891.0
2020-06-01,HR,Heavy Rail,1260658.0
2020-07-01,HR,Heavy Rail,1306684.0
2020-08-01,HR,Heavy Rail,1306777.0
2020-09-01,HR,Heavy Rail,1441747.0
2020-10-01,HR,Heavy Rail,1619410.0
2020-11-01,HR,Heavy Rail,1494700.0
2020-12-01,HR,Heavy Rail,1482126.0
2021-01-01,HR,Heavy Rail,1434957.0
2021-02-01,HR,Heavy Rail,1363917.0
2021-03-01,HR,Heavy Rail,1642106.0
2021-04-01,HR,Heavy Rail,1719309.0
2021-05-01,HR,Heavy Rail,1804393.0
2021-06-01,HR,Heavy Rail,1917495.0
2021-07-01,HR,Heavy Rail,2052277.0
2021-08-01,HR,Heavy Rail,2120529.0
2021-09-01,HR,Heavy Rail,2339669.0
2021-10-01,HR,Heavy Rail,2359095.0
2021-11-01,HR,Heavy Rail,2180431.0
2021-12-01,HR,Heavy Rail,2054293.0
2022-01-01,HR,Heavy Rail,1867907.0
2022-02-01,HR,Heavy Rail,1909958.0
2022-03-01,HR,Heavy Rail,2249435.0
2022-04-01,HR,Heavy Rail,2315762.0
2022-05-01,HR,Heavy Rail,2340546.0
2022-06-01,HR,Heavy Rail,2289890.0
2022-07-01,HR,Heavy Rail,2389586.0
2022-08-01,HR,Heavy Rail,2574500.0
2022-09-01,HR,Heavy Rail,2762152.0
2022-10-01,HR,Heavy Rail,2743061.0
2022-11-01,HR,Heavy Rail,2467782.0
2022-12-01,HR,Heavy Rail,2290140.0
2023-01-01,HR,Heavy Rail,2417589.0
2023-02-01,HR,Heavy Rail,2304337.0
2023-03-01,HR,Heavy Rail,2598694.0
