station_name,line,lat,lon,peak_trains_per_hour,offpeak_trains_per_hour
AIRPORT STATION,GOLD,33.64055933333333,-84.44619766666666,24.0,16.7
ARTS CENTER STATION,GOLD,33.7892485,-84.387343,23.8,16.8
ASHBY STATION,GREEN,33.7564775,-84.41727900000001,24.0,18.4
AVONDALE STATION,BLUE,33.775384,-84.2819765,12.0,9.1
BANKHEAD STATION,GREEN,33.7722975,-84.4288895,12.0,9.3
BROOKHAVEN-OGLETHORPE STATION,GOLD,33.860158999999996,-84.33932100000001,11.8,9.2
BUCKHEAD STATION,RED,33.847877,-84.3676725,11.8,9.4
CHAMBLEE STATION STATION,GOLD,33.887723,-84.305959,11.8,9.2
CIVIC CENTER STATION STATION,GOLD,33.7661735,-84.387504,23.8,16.8
COLLEGE PARK STATION,GOLD,33.6504295,-84.448634,24.0,16.7
DECATUR STATION,BLUE,33.77469,-84.295368,12.0,9.1
DORAVILLE STATION,GOLD,33.902598999999995,-84.280888,12.0,9.2
DUNWOODY STATION,RED,33.920996,-84.3442405,11.8,9.4
EAST LAKE STATION,BLUE,33.7652185,-84.31318150000001,12.0,9.1
EAST POINT STATION,GOLD,33.6772045,-84.44062299999999,24.0,
EDGEWOOD-CANDLER PARK STATION,BLUE,33.7618345,-84.3406405,24.0,16.8
FIVE POINTS STATION,BLUE,33.75397775,-84.39157125,48.0,33.6
GARNETT STATION,GOLD,33.748817,-84.395643,23.8,16.8
GEORGIA STATE STATION,BLUE,33.750152,-84.3858985,24.0,16.8
HAMILTON E HOLMES STATION,BLUE,33.754535000000004,-84.469563,12.0,9.1
INDIAN CREEK STATION,BLUE,33.7698745,-84.22939,11.8,9.1
INMAN PARK-REYNOLDSTOWN STATION,BLUE,33.757339,-84.352914,24.0,16.8
KENSINGTON STATION,BLUE,33.7727055,-84.251879,12.0,9.1
KING MEMORIAL STATION STATION,BLUE,33.749902000000006,-84.3758325,24.0,16.8
LAKEWOOD-FT MCPHERSON STATION,GOLD,33.700588999999994,-84.42881650000001,23.8,16.8
LENOX STATION,GOLD,33.8453475,-84.35831099999999,12.0,9.2
LINDBERGH CENTER STATION,RED,33.82345625,-84.3693295,23.5,
MEDICAL CENTER STATION,RED,33.910748,-84.35182449999999,12.0,9.3
MIDTOWN STATION,GOLD,33.781301,-84.3863475,23.8,16.8
NORTH AVENUE STATION,GOLD,33.771606500000004,-84.387231,23.8,16.8
NORTH SPRINGS STATION,RED,33.944663500000004,-84.357264,11.8,9.4
OAKLAND CITY STATION,GOLD,33.717139,-84.425084,23.8,16.8
PEACHTREE CENTER STATION,GOLD,33.7581355,-84.3875955,23.8,16.8
SANDY SPRINGS STATION,RED,33.9316175,-84.35101449999999,11.8,9.4
SEC District Station,BLUE,33.756183,-84.397253,24.0,
VINE CITY STATION,GREEN,33.756613,-84.40396150000001,24.0,18.4
WEST END STATION,GOLD,33.736134500000006,-84.413658,24.0,16.7
WEST LAKE STATION,BLUE,33.7532875,-84.4454485,12.0,9.1
MIDTOWN STATION,GOLD,33.781301,-84.3863475,23.8,16.8
WEST LAKE STATION,BLUE,33.7532875,-84.4454485,12.0,9.1
