NAME,B08141_001E,B08141_002E,state,county,tract
Census Tract 201; DeKalb County; Georgia,1029,48,13,089,020100
Census Tract 202; DeKalb County; Georgia,1275,0,13,089,020200
Census Tract 203; DeKalb County; Georgia,2280,10,13,089,020300
Census Tract 204; DeKalb County; Georgia,1497,10,13,089,020400
Census Tract 205; DeKalb County; Georgia,2338,4,13,089,020500
Census Tract 206; DeKalb County; Georgia,1756,29,13,089,020600
Census Tract 207; DeKalb County; Georgia,1465,58,13,089,020700
Census Tract 208.01; DeKalb County; Georgia,1602,0,13,089,020801
Census Tract 208.02; DeKalb County; Georgia,2557,52,13,089,020802
Census Tract 209.01; DeKalb County; Georgia,1763,76,13,089,020901
Census Tract 209.02; DeKalb County; Georgia,1136,31,13,089,020902
Census Tract 211.01; DeKalb County; Georgia,2462,0,13,089,021101
Census Tract 211.03; DeKalb County; Georgia,2480,169,13,089,021103
Census Tract 211.04; DeKalb County; Georgia,1012,13,13,089,021104
Census Tract 212.04; DeKalb County; Georgia,1341,621,13,089,021204
Census Tract 212.08; DeKalb County; Georgia,3507,214,13,089,021208
Census Tract 212.10; DeKalb County; Georgia,2648,21,13,089,021210
Census Tract 212.11; DeKalb County; Georgia,2102,0,13,089,021211
Census Tract 212.13; DeKalb County; Georgia,1534,0,13,089,021213
Census Tract 212.17; DeKalb County; Georgia,1374,46,13,089,021217
Census Tract 212.19; DeKalb County; Georgia,2346,0,13,089,021219
Census Tract 212.20; DeKalb County; Georgia,1934,0,13,089,021220
Census Tract 212.21; DeKalb County; Georgia,1926,29,13,089,021221
Census Tract 212.22; DeKalb County; Georgia,2640,0,13,089,021222
Census Tract 212.23; DeKalb County; Georgia,678,37,13,089,021223
Census Tract 212.24; DeKalb County; Georgia,2788,13,13,089,021224
Census Tract 212.25; DeKalb County; Georgia,1645,29,13,089,021225
Census Tract 212.26; DeKalb County; Georgia,2655,189,13,089,021226
Census Tract 212.27; DeKalb County; Georgia,3251,19,13,089,021227
Census Tract 212.28; DeKalb County; Georgia,1681,0,13,089,021228
Census Tract 212.29; DeKalb County; Georgia,1528,7,13,089,021229
Census Tract 212.30; DeKalb County; Georgia,2336,43,13,089,021230
Census Tract 213.01; DeKalb County; Georgia,2071,99,13,089,021301
Census Tract 213.05; DeKalb County; Georgia,2945,166,13,089,021305
Census Tract 213.06; DeKalb County; Georgia,3461,182,13,089,021306
Census Tract 213.07; DeKalb County; Georgia,1756,71,13,089,021307
Census Tract 213.08; DeKalb County; Georgia,2325,291,13,089,021308
Census Tract 213.09; DeKalb County; Georgia,685,102,13,089,021309
Census Tract 213.10; DeKalb County; Georgia,2278,102,13,089,021310
Census Tract 214.05; DeKalb County; Georgia,3071,145,13,089,021405
Census Tract 214.09; DeKalb County; Georgia,1678,86,13,089,021409
Census Tract 214.10; DeKalb County; Georgia,3165,135,13,089,021410
Census Tract 214.11; DeKalb County; Georgia,2819,98,13,089,021411
Census Tract 214.12; DeKalb County; Georgia,2398,44,13,089,021412
Census Tract 214.15; DeKalb County; Georgia,2657,23,13,089,021415
Census Tract 214.16; DeKalb County; Georgia,1390,373,13,089,021416
Census Tract 214.17; DeKalb County; Georgia,2513,490,13,089,021417
Census Tract 214.18; DeKalb County; Georgia,1455,254,13,089,021418
Census Tract 214.19; DeKalb County; Georgia,1123,23,13,089,021419
Census Tract 214.20; DeKalb County; Georgia,829,7,13,089,021420
Census Tract 214.21; DeKalb County; Georgia,1193,96,13,089,021421
Census Tract 215.02; DeKalb County; Georgia,3058,82,13,089,021502
Census Tract 215.03; DeKalb County; Georgia,2280,150,13,089,021503
Census Tract 215.05; DeKalb County; Georgia,1982,101,13,089,021505
Census Tract 215.06; DeKalb County; Georgia,1744,58,13,089,021506
Census Tract 216.02; DeKalb County; Georgia,2164,81,13,089,021602
Census Tract 216.04; DeKalb County; Georgia,1648,8,13,089,021604
Census Tract 216.06; DeKalb County; Georgia,2207,0,13,089,021606
Census Tract 216.07; DeKalb County; Georgia,1139,42,13,089,021607
Census Tract 216.08; DeKalb County; Georgia,2411,0,13,089,021608
Census Tract 216.09; DeKalb County; Georgia,921,91,13,089,021609
Census Tract 217.03; DeKalb County; Georgia,1949,0,13,089,021703
Census Tract 217.07; DeKalb County; Georgia,1354,0,13,089,021707
Census Tract 217.08; DeKalb County; Georgia,1936,106,13,089,021708
Census Tract 217.09; DeKalb County; Georgia,1828,0,13,089,021709
Census Tract 217.10; DeKalb County; Georgia,1246,0,13,089,021710
Census Tract 217.11; DeKalb County; Georgia,1377,11,13,089,021711
Census Tract 217.12; DeKalb County; Georgia,1645,75,13,089,021712
Census Tract 218.08; DeKalb County; Georgia,2158,0,13,089,021808
Census Tract 218.12; DeKalb County; Georgia,1525,152,13,089,021812
Census Tract 218.13; DeKalb County; Georgia,1097,15,13,089,021813
Census Tract 218.15; DeKalb County; Georgia,2276,668,13,089,021815
Census Tract 218.16; DeKalb County; Georgia,1615,141,13,089,021816
Census Tract 218.17; DeKalb County; Georgia,1064,0,13,089,021817
Census Tract 218.18; DeKalb County; Georgia,2231,81,13,089,021818
Census Tract 218.19; DeKalb County; Georgia,1696,29,13,089,021819
Census Tract 218.20; DeKalb County; Georgia,1277,62,13,089,021820
Census Tract 218.21; DeKalb County; Georgia,1481,0,13,089,021821
Census Tract 218.22; DeKalb County; Georgia,2060,0,13,089,021822
Census Tract 218.23; DeKalb County; Georgia,1654,0,13,089,021823
Census Tract 218.24; DeKalb County; Georgia,1001,163,13,089,021824
Census Tract 219.06; DeKalb County; Georgia,2478,80,13,089,021906
Census Tract 219.08; DeKalb County; Georgia,2386,98,13,089,021908
Census Tract 219.10; DeKalb County; Georgia,3998,182,13,089,021910
Census Tract 219.11; DeKalb County; Georgia,1491,176,13,089,021911
Census Tract 219.12; DeKalb County; Georgia,1683,6,13,089,021912
Census Tract 219.13; DeKalb County; Georgia,1655,103,13,089,021913
Census Tract 219.14; DeKalb County; Georgia,2320,29,13,089,021914
Census Tract 219.15; DeKalb County; Georgia,2283,0,13,089,021915
Census Tract 219.16; DeKalb County; Georgia,1231,110,13,089,021916
Census Tract 219.17; DeKalb County; Georgia,1183,83,13,089,021917
Census Tract 220.01; DeKalb County; Georgia,2353,63,13,089,022001
Census Tract 220.05; DeKalb County; Georgia,2244,43,13,089,022005
Census Tract 220.07; DeKalb County; Georgia,1804,189,13,089,022007
Census Tract 220.10; DeKalb County; Georgia,966,133,13,089,022010
Census Tract 220.11; DeKalb County; Georgia,2155,271,13,089,022011
Census Tract 220.12; DeKalb County; Georgia,1492,203,13,089,022012
Census Tract 220.13; DeKalb County; Georgia,1228,69,13,089,022013
Census Tract 220.14; DeKalb County; Georgia,1255,37,13,089,022014
Census Tract 220.15; DeKalb County; Georgia,1199,34,13,089,022015
Census Tract 220.16; DeKalb County; Georgia,1593,38,13,089,022016
Census Tract 221; DeKalb County; Georgia,1672,201,13,089,022100
Census Tract 222.03; DeKalb County; Georgia,1474,223,13,089,022203
Census Tract 222.05; DeKalb County; Georgia,2045,104,13,089,022205
Census Tract 222.06; DeKalb County; Georgia,2004,0,13,089,022206
Census Tract 223.02; DeKalb County; Georgia,1866,28,13,089,022302
Census Tract 223.03; DeKalb County; Georgia,1992,40,13,089,022303
Census Tract 223.04; DeKalb County; Georgia,1774,169,13,089,022304
Census Tract 224.01; DeKalb County; Georgia,2164,29,13,089,022401
Census Tract 224.03; DeKalb County; Georgia,1840,0,13,089,022403
Census Tract 224.04; DeKalb County; Georgia,229,45,13,089,022404
Census Tract 224.05; DeKalb County; Georgia,684,17,13,089,022405
Census Tract 225.01; DeKalb County; Georgia,1976,37,13,089,022501
Census Tract 225.02; DeKalb County; Georgia,1250,18,13,089,022502
Census Tract 226.01; DeKalb County; Georgia,2251,33,13,089,022601
Census Tract 226.02; DeKalb County; Georgia,1206,34,13,089,022602
Census Tract 227; DeKalb County; Georgia,2400,7,13,089,022700
Census Tract 228; DeKalb County; Georgia,1757,0,13,089,022800
Census Tract 229; DeKalb County; Georgia,2881,27,13,089,022900
Census Tract 230; DeKalb County; Georgia,1166,54,13,089,023000
Census Tract 231.01; DeKalb County; Georgia,1954,94,13,089,023101
Census Tract 231.02; DeKalb County; Georgia,1347,163,13,089,023102
Census Tract 231.07; DeKalb County; Georgia,2575,82,13,089,023107
Census Tract 231.08; DeKalb County; Georgia,1434,66,13,089,023108
Census Tract 231.11; DeKalb County; Georgia,703,35,13,089,023111
Census Tract 231.12; DeKalb County; Georgia,2039,367,13,089,023112
Census Tract 231.13; DeKalb County; Georgia,2047,53,13,089,023113
Census Tract 231.14; DeKalb County; Georgia,1709,67,13,089,023114
Census Tract 231.15; DeKalb County; Georgia,0,0,13,089,023115
Census Tract 232.09; DeKalb County; Georgia,2872,0,13,089,023209
Census Tract 232.11; DeKalb County; Georgia,2144,88,13,089,023211
Census Tract 232.12; DeKalb County; Georgia,1774,108,13,089,023212
Census Tract 232.13; DeKalb County; Georgia,3156,18,13,089,023213
Census Tract 232.14; DeKalb County; Georgia,3298,221,13,089,023214
Census Tract 232.15; DeKalb County; Georgia,2156,221,13,089,023215
Census Tract 232.16; DeKalb County; Georgia,1666,36,13,089,023216
Census Tract 232.17; DeKalb County; Georgia,2084,96,13,089,023217
Census Tract 232.18; DeKalb County; Georgia,1318,128,13,089,023218
Census Tract 232.19; DeKalb County; Georgia,1761,0,13,089,023219
Census Tract 232.20; DeKalb County; Georgia,1950,39,13,089,023220
Census Tract 232.21; DeKalb County; Georgia,1423,13,13,089,023221
Census Tract 232.22; DeKalb County; Georgia,2064,14,13,089,023222
Census Tract 233.11; DeKalb County; Georgia,2301,0,13,089,023311
Census Tract 233.13; DeKalb County; Georgia,2700,161,13,089,023313
Census Tract 233.15; DeKalb County; Georgia,3232,0,13,089,023315
Census Tract 233.17; DeKalb County; Georgia,1908,750,13,089,023317
Census Tract 233.18; DeKalb County; Georgia,1728,97,13,089,023318
Census Tract 233.19; DeKalb County; Georgia,1248,221,13,089,023319
