NAME,B08301_001E,B08301_003E,B08301_010E,state,county,tract
Census Tract 201; DeKalb County; Georgia,1034,505,61,13,089,020100
Census Tract 202; DeKalb County; Georgia,1275,710,0,13,089,020200
Census Tract 203; DeKalb County; Georgia,2280,1219,96,13,089,020300
Census Tract 204; DeKalb County; Georgia,1497,703,39,13,089,020400
Census Tract 205; DeKalb County; Georgia,2338,1401,93,13,089,020500
Census Tract 206; DeKalb County; Georgia,1756,1070,20,13,089,020600
Census Tract 207; DeKalb County; Georgia,1465,557,96,13,089,020700
Census Tract 208.01; DeKalb County; Georgia,1602,1001,60,13,089,020801
Census Tract 208.02; DeKalb County; Georgia,2557,1597,0,13,089,020802
Census Tract 209.01; DeKalb County; Georgia,1763,875,0,13,089,020901
Census Tract 209.02; DeKalb County; Georgia,1136,672,0,13,089,020902
Census Tract 211.01; DeKalb County; Georgia,2468,1443,1,13,089,021101
Census Tract 211.03; DeKalb County; Georgia,2617,1711,0,13,089,021103
Census Tract 211.04; DeKalb County; Georgia,1012,461,62,13,089,021104
Census Tract 212.04; DeKalb County; Georgia,1341,360,283,13,089,021204
Census Tract 212.08; DeKalb County; Georgia,3507,1951,228,13,089,021208
Census Tract 212.10; DeKalb County; Georgia,2648,1385,69,13,089,021210
Census Tract 212.11; DeKalb County; Georgia,2102,1185,39,13,089,021211
Census Tract 212.13; DeKalb County; Georgia,1534,866,0,13,089,021213
Census Tract 212.17; DeKalb County; Georgia,1374,840,24,13,089,021217
Census Tract 212.19; DeKalb County; Georgia,2346,1626,51,13,089,021219
Census Tract 212.20; DeKalb County; Georgia,1934,911,89,13,089,021220
Census Tract 212.21; DeKalb County; Georgia,1927,1341,32,13,089,021221
Census Tract 212.22; DeKalb County; Georgia,2640,1741,39,13,089,021222
Census Tract 212.23; DeKalb County; Georgia,678,398,0,13,089,021223
Census Tract 212.24; DeKalb County; Georgia,2788,1873,42,13,089,021224
Census Tract 212.25; DeKalb County; Georgia,1645,946,0,13,089,021225
Census Tract 212.26; DeKalb County; Georgia,2655,1326,56,13,089,021226
Census Tract 212.27; DeKalb County; Georgia,3251,1627,0,13,089,021227
Census Tract 212.28; DeKalb County; Georgia,1681,869,38,13,089,021228
Census Tract 212.29; DeKalb County; Georgia,1528,968,77,13,089,021229
Census Tract 212.30; DeKalb County; Georgia,2336,1205,88,13,089,021230
Census Tract 213.01; DeKalb County; Georgia,2078,1204,48,13,089,021301
Census Tract 213.05; DeKalb County; Georgia,2945,1478,44,13,089,021305
Census Tract 213.06; DeKalb County; Georgia,3461,1850,90,13,089,021306
Census Tract 213.07; DeKalb County; Georgia,1756,880,47,13,089,021307
Census Tract 213.08; DeKalb County; Georgia,2325,1165,127,13,089,021308
Census Tract 213.09; DeKalb County; Georgia,685,301,58,13,089,021309
Census Tract 213.10; DeKalb County; Georgia,2278,1360,193,13,089,021310
Census Tract 214.05; DeKalb County; Georgia,3071,1519,120,13,089,021405
Census Tract 214.09; DeKalb County; Georgia,1687,1250,7,13,089,021409
Census Tract 214.10; DeKalb County; Georgia,3165,1747,229,13,089,021410
Census Tract 214.11; DeKalb County; Georgia,2819,1769,67,13,089,021411
Census Tract 214.12; DeKalb County; Georgia,2398,1575,40,13,089,021412
Census Tract 214.15; DeKalb County; Georgia,2663,1225,12,13,089,021415
Census Tract 214.16; DeKalb County; Georgia,1390,605,85,13,089,021416
Census Tract 214.17; DeKalb County; Georgia,2513,789,296,13,089,021417
Census Tract 214.18; DeKalb County; Georgia,1455,612,10,13,089,021418
Census Tract 214.19; DeKalb County; Georgia,1123,793,61,13,089,021419
Census Tract 214.20; DeKalb County; Georgia,829,549,101,13,089,021420
Census Tract 214.21; DeKalb County; Georgia,1193,610,75,13,089,021421
Census Tract 215.02; DeKalb County; Georgia,3058,1743,170,13,089,021502
Census Tract 215.03; DeKalb County; Georgia,2280,1172,108,13,089,021503
Census Tract 215.05; DeKalb County; Georgia,1982,1122,57,13,089,021505
Census Tract 215.06; DeKalb County; Georgia,1744,1034,60,13,089,021506
Census Tract 216.02; DeKalb County; Georgia,2164,1350,36,13,089,021602
Census Tract 216.04; DeKalb County; Georgia,1648,1050,39,13,089,021604
Census Tract 216.06; DeKalb County; Georgia,2207,1341,0,13,089,021606
Census Tract 216.07; DeKalb County; Georgia,1139,760,0,13,089,021607
Census Tract 216.08; DeKalb County; Georgia,2411,1531,0,13,089,021608
Census Tract 216.09; DeKalb County; Georgia,921,478,101,13,089,021609
Census Tract 217.03; DeKalb County; Georgia,1951,1049,0,13,089,021703
Census Tract 217.07; DeKalb County; Georgia,1354,824,0,13,089,021707
Census Tract 217.08; DeKalb County; Georgia,1936,1138,0,13,089,021708
Census Tract 217.09; DeKalb County; Georgia,1828,1270,12,13,089,021709
Census Tract 217.10; DeKalb County; Georgia,1247,813,0,13,089,021710
Census Tract 217.11; DeKalb County; Georgia,1377,613,40,13,089,021711
Census Tract 217.12; DeKalb County; Georgia,1733,1089,79,13,089,021712
Census Tract 218.08; DeKalb County; Georgia,2158,1273,70,13,089,021808
Census Tract 218.12; DeKalb County; Georgia,1525,955,27,13,089,021812
Census Tract 218.13; DeKalb County; Georgia,1097,792,0,13,089,021813
Census Tract 218.15; DeKalb County; Georgia,2276,1218,362,13,089,021815
Census Tract 218.16; DeKalb County; Georgia,1615,1131,226,13,089,021816
Census Tract 218.17; DeKalb County; Georgia,1064,770,28,13,089,021817
Census Tract 218.18; DeKalb County; Georgia,2241,1474,24,13,089,021818
Census Tract 218.19; DeKalb County; Georgia,1697,1045,76,13,089,021819
Census Tract 218.20; DeKalb County; Georgia,1277,937,0,13,089,021820
Census Tract 218.21; DeKalb County; Georgia,1481,886,0,13,089,021821
Census Tract 218.22; DeKalb County; Georgia,2068,1432,0,13,089,021822
Census Tract 218.23; DeKalb County; Georgia,1656,771,8,13,089,021823
Census Tract 218.24; DeKalb County; Georgia,1001,503,17,13,089,021824
Census Tract 219.06; DeKalb County; Georgia,2478,1852,299,13,089,021906
Census Tract 219.08; DeKalb County; Georgia,2387,1779,155,13,089,021908
Census Tract 219.10; DeKalb County; Georgia,4004,2371,171,13,089,021910
Census Tract 219.11; DeKalb County; Georgia,1491,945,40,13,089,021911
Census Tract 219.12; DeKalb County; Georgia,1683,1090,0,13,089,021912
Census Tract 219.13; DeKalb County; Georgia,1655,1267,16,13,089,021913
Census Tract 219.14; DeKalb County; Georgia,2320,1613,28,13,089,021914
Census Tract 219.15; DeKalb County; Georgia,2285,1900,0,13,089,021915
Census Tract 219.16; DeKalb County; Georgia,1231,744,0,13,089,021916
Census Tract 219.17; DeKalb County; Georgia,1183,730,112,13,089,021917
Census Tract 220.01; DeKalb County; Georgia,2353,1741,43,13,089,022001
Census Tract 220.05; DeKalb County; Georgia,2245,1441,121,13,089,022005
Census Tract 220.07; DeKalb County; Georgia,1804,1089,67,13,089,022007
